,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
0,FDW58,OUT049,1715.1785786366827
1,FDW14,OUT017,1383.4474026578102
2,NCN55,OUT010,508.0424376651695
3,FDQ58,OUT017,2480.143615699126
4,FDY38,OUT027,5917.033047436492
5,FDH56,OUT046,1887.816147006407
6,FDL48,OUT018,670.113695881857
7,FDC48,OUT027,2153.809416127009
8,FDN33,OUT045,1602.6860469213943
9,FDA36,OUT017,2987.464452859014
10,FDT44,OUT017,1979.7388611465035
11,FDQ56,OUT045,1458.0998447927175
12,NCC54,OUT019,576.1921747633544
13,FDU11,OUT049,1960.845539193931
14,DRL59,OUT013,728.4005922735254
15,FDM24,OUT049,2409.091367991285
16,FDI57,OUT045,3498.8485775767786
17,DRC12,OUT018,2832.114074713178
18,NCM42,OUT027,2649.8559739675834
19,FDA46,OUT010,467.055105733153
20,FDA31,OUT013,2735.4313759671395
21,NCJ31,OUT035,3560.5244742968166
22,FDG52,OUT046,778.9175524097346
23,NCL19,OUT019,314.55356781660447
24,FDS10,OUT035,3097.322766826168
25,FDX22,OUT010,463.76049382525207
26,NCF19,OUT035,730.7307823133509
27,NCE06,OUT046,2413.4010724432983
28,DRC27,OUT046,3813.8404891661457
29,FDE21,OUT035,2062.5102126743773
30,NCR42,OUT019,128.73612126057455
31,FDX51,OUT018,2916.3860209969703
32,NCR06,OUT018,630.6822299952776
33,FDU31,OUT027,5709.457000007284
34,FDU59,OUT017,2450.711672750457
35,FDR03,OUT027,5607.608487089281
36,FDS49,OUT027,2208.4587424581887
37,FDD48,OUT010,249.74639067485438
38,NCF18,OUT017,3194.3821766168535
39,NCD43,OUT027,2590.8472906008396
40,NCD54,OUT018,1958.863431614619
41,FDY19,OUT010,240.49856087993598
42,NCY54,OUT017,2764.476813237141
43,NCL19,OUT018,2164.267412076383
44,FDP23,OUT010,486.2629309217521
45,FDC26,OUT013,1782.0590187809162
46,FDR14,OUT010,131.89630364617918
47,NCS41,OUT035,3204.333459584383
48,FDF41,OUT035,3955.414918905978
49,FDU34,OUT046,1960.1646571349675
50,DRH11,OUT046,891.954998261672
51,FDM03,OUT013,1775.6487632376386
52,FDS31,OUT017,3103.0987237891927
53,FDJ20,OUT017,1960.697026536906
54,FDV44,OUT027,4901.97195834155
55,FDG02,OUT049,3254.716806255314
56,FDA09,OUT013,3148.2929410662036
57,FDT04,OUT013,588.0988826834603
58,FDL58,OUT019,571.4508773687543
59,FDE52,OUT045,1400.9524083104614
60,FDW12,OUT035,2593.8872771549118
61,FDL51,OUT017,3611.4099748016147
62,NCY42,OUT027,3513.1579631684185
63,FDR07,OUT017,1510.4291845294929
64,FDN40,OUT045,2400.3680218456443
65,FDB35,OUT027,2596.8358822761215
66,FDA22,OUT017,2756.3968913979415
67,NCL06,OUT046,4165.204722538153
68,FDI35,OUT013,3401.747945137495
69,NCW42,OUT045,3719.8692033468215
70,NCX06,OUT049,3169.910365190444
71,FDC37,OUT027,2615.9977347992153
72,FDZ14,OUT018,1780.7412636120177
73,DRG49,OUT049,4370.508044933945
74,NCG06,OUT045,4061.6448901839503
75,DRC36,OUT045,2750.1785279712617
76,FDV21,OUT019,290.6100978842998
77,FDB53,OUT046,2563.687987545014
78,DRP47,OUT019,558.6169756943993
79,FDA14,OUT013,2519.5561125554536
80,DRC24,OUT035,2675.8209135207626
81,FDW21,OUT018,1389.179622932493
82,NCH29,OUT046,1660.286395717692
83,FDU58,OUT013,3074.2735633564944
84,FDY27,OUT017,2788.7197596253804
85,FDV56,OUT035,1682.4377487816944
